Country name,Year,Log GDP per capita,Healthy life expectancy at birth,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality
Dominican Republic,2017,0.6138546214326434,0.6362008560237365,0.7492348337123146,0.40089616498673886,0.5908976066601075,0.35849763658775086
Ecuador,2017,0.5472050859016244,0.7305821911403114,0.7144452285052756,0.6083855092579626,0.5054242235632457,0.28962752410689857
El Salvador,2017,0.47012622197590903,0.6466877894989927,0.7715549808565718,0.1830046182818538,0.5314347000291371,0.3390768749790225
Estonia,2017,0.759329173261185,0.7375735691453235,0.6301427103196809,0.3389117365692965,0.8156558158745576,0.8156638581591356
Ethiopia,2017,0.17225944348071248,0.37403018454415893,0.7445911528127945,0.7552517025175328,0.09298907923666219,0.28348256736433075
Finland,2017,0.8255088027490742,0.8564243266826549,0.014568757788993211,0.559015975398089,0.9237335049843614,0.9964088667902472
France,2017,0.8151537128134299,0.9193451277388636,0.5436032193532784,0.30312300408389886,0.7414383054080342,0.81061375964446
Gabon,2017,0.6399519316018594,0.41597751854751946,0.8886678234057027,0.20225207949213952,0.3798692270540857,0.2503135214951625
Gambia,2017,0.1510882401866984,0.25867511565977286,0.5049732245792548,0.7875782153494902,0.4213864432723968,0.31718881119528763
Georgia,2017,0.530148712153824,0.6082358777831752,0.5282729525909429,0.21305896825934742,0.5293519770820656,0.6436217699543807
Germany,2017,0.8479359172680722,0.8599198825024598,0.30116410246340136,0.588192514324356,0.828905305774192,0.9267013039870817
Ghana,2017,0.35725361361643265,0.3320828505407984,0.8502640687002343,0.6425922699924432,0.6429905909617503,0.441249416607832
Greece,2017,0.7216394209250137,0.8704065492627528,0.8937554295857633,0.03325173549772741,0.6292051615204122,0.497300838459213
Guatemala,2017,0.47382188810796205,0.6012447664931262,0.8000056002949192,0.3994285796435867,0.4215951627045869,0.2849017021122173
Guinea,2017,0.2021816435349581,0.20973653718366214,0.7357030073076762,0.6077742348844725,0.35041804325686293,0.19031026020480282
Haiti,2017,0.16286380759871785,0.28663996071763304,0.6027119849746146,0.37237753200279966,0.33674334866404865,0.0850964611265824
Honduras,2017,0.37209373268489404,0.6886349903196521,0.7789017584739819,0.44189014131756044,0.40145462842213475,0.2837938523210356
Hong Kong S.A.R. of China,2017,0.892361898624322,1.0,0.30347773400128275,0.4987056181191653,0.7290433224513287,0.9564268484104147
Hungary,2017,0.7394148683110005,0.6956261016097011,0.9120185042207167,0.3065430082151771,0.7153346034635895,0.5827795749450678
Iceland,2017,0.8535964972909242,0.8983715275033143,0.7057243559878109,0.2919202277608469,0.942074359141943,0.8851517260344499
India,2017,0.4439609927301197,0.43345556331282464,0.7755048299103631,0.8367304094054147,0.4813582751536224,0.43776480798966055
Iraq,2017,0.6284054923199844,0.42995987431031857,0.7448625648518912,0.3597104927109416,0.056890920580796596,0.0997476919024246
Ireland,2017,0.9303215497075562,0.8704065492627528,0.20166594237703125,0.5662087676599677,0.8788514500750181,0.8535774755284531
Israel,2017,0.7835008588571611,0.9018670829735584,0.7908291619430237,0.3198665495968557,0.518599078076176,0.7639554557438911
Italy,2017,0.7961519710803193,0.9123540167983752,0.8865500237213305,0.1370074655566683,0.7314247357214172,0.5786113339103908
Ivory Coast,2017,0.3240402013656859,0.05592982329842156,0.7627500858098025,0.4660948665118582,0.34756026765804565,0.31407593102353587
Jamaica,2017,0.4942469686785152,0.6921305457898963,0.9074078917539243,0.2725739580806011,0.6814661421747652,0.48453114516059653
Japan,2017,0.8172694699747672,0.9647881510942908,0.6182401269273271,0.3464292357803533,0.852456885746809,0.8686721886740862
Kazakhstan,2017,0.7172219170977877,0.5837667217278211,0.7424595541383086,0.7407208835929476,0.3700496632667213,0.3941504656635939
Kenya,2017,0.28575457747090816,0.42646431884007446,0.8701677178143303,0.6053407794865082,0.35912638286673443,0.3368835176281119
Kosovo,2017,0.5312241632304098,0.6145034487062706,0.9622361188211873,0.21512673386497339,0.49837742523129175,0.3663369814529433
Kyrgyzstan,2017,0.3117509961441101,0.5767754772550708,0.8966717407463016,0.5178127400313508,0.41918214388060243,0.2616951350370505
Laos,2017,0.4430144695606989,0.3845169848367139,0.5308398415078258,0.8374847273886272,0.3542201048692471,0.2714279415039487
Latvia,2017,0.7257224616420644,0.6711569455543469,0.7982341384501331,0.17584226273709921,0.7265345749531006,0.698814313135035
Lebanon,2017,0.5955843919047051,0.6746525010245911,0.9435298120883272,0.12267231403214661,0.2314566424387878,0.2882422243216989
Lesotho,2017,0.2757007782350575,0.0,0.7962701205570821,0.6713248181614088,0.5143986171976077,0.36620321335328215
Liberia,2017,0.0,0.27964871624488286,0.8867290898665142,0.5101372695023242,0.48240349903066426,0.20005228267917208
Lithuania,2017,0.7596310581369622,0.6781480568443959,0.7870239216499187,0.24160824359838032,0.8000612444308594,0.7090718971108
Luxembourg,2017,1.0,0.8843890382082532,0.19272807912346623,0.7214394932665019,0.9577215860942029,0.9363986577000885
Macedonia,2017,0.5915755871623464,0.6991219237949083,0.8723622150533114,0.3813836720469854,0.48876260754045375,0.47058006934887275
Madagascar,2017,0.13086731185902764,0.3984994737822143,0.8614517001618034,0.49511603503838475,0.4475986417779782,0.215369387426168
Malawi,2017,0.0775874673877506,0.3355785395433044,0.7158003617564976,0.5852020166849041,0.5013760858257328,0.30172988026343806
Mali,2017,0.20376846192353587,0.1363288023026366,0.8813605132278698,0.45249954870507386,0.2320842385201187,0.2697322767660241
Malta,2017,0.8036175397331775,0.8704065492627528,0.6587135801326988,0.736469560972608,0.8967080388543037,0.7416355524177072
Mauritania,2017,0.3238461188529947,0.3285872947209936,0.7709930399394039,0.20813457303481436,0.3400056314420891,0.27480867509942086
