Country name,Year,Log GDP per capita,Healthy life expectancy at birth,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality,Cluster
India,2017,0.4439609927301197,0.4334555633128246,0.7755048299103631,0.8367304094054147,0.4813582751536224,0.4377648079896605,2
Iraq,2017,0.6284054923199844,0.4299598743103185,0.7448625648518912,0.3597104927109416,0.0568909205807965,0.0997476919024246,1
Ireland,2017,0.9303215497075562,0.8704065492627528,0.2016659423770312,0.5662087676599677,0.8788514500750181,0.8535774755284531,0
Israel,2017,0.7835008588571611,0.9018670829735584,0.7908291619430237,0.3198665495968557,0.518599078076176,0.7639554557438911,4
Italy,2017,0.7961519710803193,0.9123540167983752,0.8865500237213305,0.1370074655566683,0.7314247357214172,0.5786113339103908,4
Ivory Coast,2017,0.3240402013656859,0.0559298232984215,0.7627500858098025,0.4660948665118582,0.3475602676580456,0.3140759310235358,5
Jamaica,2017,0.4942469686785152,0.6921305457898963,0.9074078917539244,0.2725739580806011,0.6814661421747652,0.4845311451605965,3
Japan,2017,0.8172694699747672,0.9647881510942908,0.6182401269273271,0.3464292357803533,0.852456885746809,0.8686721886740862,4
Kazakhstan,2017,0.7172219170977877,0.5837667217278211,0.7424595541383086,0.7407208835929476,0.3700496632667213,0.3941504656635939,1
Kenya,2017,0.2857545774709081,0.4264643188400744,0.8701677178143303,0.6053407794865082,0.3591263828667344,0.3368835176281119,5
Kosovo,2017,0.5312241632304098,0.6145034487062706,0.9622361188211872,0.2151267338649733,0.4983774252312917,0.3663369814529433,3
Kyrgyzstan,2017,0.3117509961441101,0.5767754772550708,0.8966717407463016,0.5178127400313508,0.4191821438806024,0.2616951350370505,1
Laos,2017,0.4430144695606989,0.3845169848367139,0.5308398415078258,0.8374847273886272,0.3542201048692471,0.2714279415039487,2
Latvia,2017,0.7257224616420644,0.6711569455543469,0.7982341384501331,0.1758422627370992,0.7265345749531006,0.698814313135035,4
Lebanon,2017,0.5955843919047051,0.6746525010245911,0.9435298120883272,0.1226723140321466,0.2314566424387878,0.2882422243216989,3
Lesotho,2017,0.2757007782350575,0.0,0.7962701205570821,0.6713248181614088,0.5143986171976077,0.3662032133532821,5
Liberia,2017,0.0,0.2796487162448828,0.8867290898665142,0.5101372695023242,0.4824034990306642,0.200052282679172,5
Lithuania,2017,0.7596310581369622,0.6781480568443959,0.7870239216499187,0.2416082435983803,0.8000612444308594,0.7090718971108,4
